Code,Country or region,Local authority,"Number of meters
(thousands):
Domestic Standard","Number of meters
(thousands):
Domestic E7","Number of meters
(thousands):
All Domestic","Number of meters
(thousands):
All Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic Standard","Total consumption
(GWh):
Domestic E7","Total consumption
(GWh):
All Domestic","Total consumption
(GWh):
All Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic Standard","Mean consumption
(kWh per meter):
Domestic E7","Mean consumption
(kWh per meter):
All Domestic","Mean consumption
(kWh per meter):
All Non-Domestic","Mean consumption
(kWh per meter):
All meters","Median consumption
(kWh per meter):
Domestic Standard","Median consumption
(kWh per meter):
Domestic E7","Median consumption
(kWh per meter):
All Domestic","Median consumption
(kWh per meter):
All Non-Domestic","Median consumption
(kWh per meter):
All meters","Mean domestic
consumption
(kWh per household)"
K03000001,Great Britain (inc unallocated),All local authorities,25512.862,3565.91,29078.772,2458.874,31537.646,77560.9420548537,16639.38785045,94200.32990530171,155700.150028608,249900.479933882,3040.072182213571,4666.238870428585,3239.48789533828,63321.72776181618,7923.878653907208,2398.5,3362.2,2474.8,6873.5,2546.2,3390.829848305893
E92000001,England,All local authorities,21663.859,3163.403,24827.262,2095.868,26923.13,66510.64468221883,14663.68591275007,81174.33059497488,130932.0812705264,212106.4118654793,3070.119902563012,4635.415061802139,3269.564344025325,62471.53030177779,7878.222623650345,2416.2,3339.4,2495.2,6852.75,2566.2,3400.89800347206
E12000001,North East,All local authorities,1198.193,53.857,1252.05,83.838,1335.888,3197.728808897126,252.5640151633183,3450.292824060487,6531.147862074104,9981.440686134565,2668.792764518843,4689.529961997851,2755.714886833982,77901.99983389517,7471.764613601264,2206.199999987286,3376.099999996423,2228.300000022497,7348.600000012884,2284.0,2906.116666099941
E12000002,North West,All local authorities,3130.357,199.796,3330.153,241.754,3571.907,9260.396702966784,1002.113348971342,10262.51005193796,17101.86570068328,27364.37575262107,2958.255784553258,5015.682741252787,3081.693259119915,70740.77657736077,7660.998943315453,2414.800000128572,3798.200000009442,2458.300000133377,7816.0,2529.699999938608,3210.081962794041
E12000003,Yorkshire and The Humber,All local authorities,2309.799,140.506,2450.305,187.475,2637.78,6711.760628040559,681.6329807620031,7393.393608802319,13341.03694831851,20734.43055712056,2905.776921732393,4851.273118315254,3017.33604951315,71161.68528240304,7860.560985798877,2333.100000031685,3534.699999991666,2369.300000109718,7530.700000028736,2440.5,3136.815938063941
E12000004,East Midlands,All local authorities,1598.536,542.448,2140.984,166.132,2307.116,4801.343504659259,2122.347020940835,6923.690525599545,11907.68161409497,18831.37213969463,3003.587973407705,3912.535433702097,3233.882423035177,71676.02637718784,8162.299658835807,2407.099999935001,2794.900000017333,2493.0,7942.900000013993,2566.899999933148,3339.668500221905
E12000005,West Midlands,All local authorities,2208.9,325.078,2533.978,203.375,2737.353,6791.207078413178,1457.666174579927,8248.873252993042,13250.09497570578,21498.9682286986,3074.474660877893,4484.050518890626,3255.305789155645,65151.05089468114,7853.926120854198,2477.5,3209.100000016771,2542.69999988228,7333.0,2613.800000125564,3328.448220022743
E12000006,East,All local authorities,2136.579,627.108,2763.687,225.381,2989.068,6923.063787600639,2870.683345068489,9793.747132668159,13881.97296061786,23675.72009328537,3240.25640409301,4577.65384123387,3543.725151461855,61593.35951396906,7920.769983581963,2518.100000031964,3236.299999966883,2642.30000012627,7474.200000031559,2715.0,3719.616730833608
E12000007,London,All local authorities,3288.703,391.895,3680.598,394.136,4074.734,9924.069231315298,1761.348831416822,11685.41806273167,22773.86933643132,34459.28739916428,3017.624039420798,4494.44068287889,3174.869426851743,57781.75385255678,8456.818874352111,2282.800000128457,3369.700000025669,2359.1999999019,5396.700000002524,2427.700000016999,3248.088689170471
E12000008,South East,All local authorities,3477.578,563.792,4041.37,339.67,4381.04,11600.90836050792,2742.815243678923,14343.7236041873,20193.84394382793,34537.56754801545,3335.916077369917,4864.941758093274,3549.22306153292,59451.36145031332,7883.417532826783,2565.399999830234,3572.200000033175,2660.899999793919,6881.099999950856,2730.100000224886,3717.769514113954
E12000009,South West,All local authorities,2315.214,318.923,2634.137,254.107,2888.244,7300.166579812055,1772.514952168412,9072.681531980032,11950.56792877191,21023.24946075196,3153.128211824935,5557.814745780052,3444.270944138453,47029.6683238632,7278.903534726277,2450.199999892242,4390.299999972989,2566.300000121241,6079.5,2643.300000129854,3647.939757216336
W92000004,Wales,All local authorities,1355.569,84.841,1440.41,126.123,1566.533,3914.16521134954,452.8141471106093,4366.979358460178,8788.662885673224,13155.64224413316,2887.470288380407,5337.208980452957,3031.761344658936,69683.26860028086,8397.934958365484,2353.7,3949.9,2398.8,6329.7,2471.3,3125.769523946256
S92000003,Scotland (inc unallocated),All local authorities,2478.03,317.125,2795.155,219.039,3014.194,7083.921588587221,1519.915317889344,8603.836906476605,13322.00593740228,21925.84284387887,2858.69081027559,4792.795641748031,3078.125151011877,60820.2463369641,7274.197627584314,2274.9,3488.6,2339.8,7800.8,2414.3,3420.574848151111
