Code,Country or region,Local authority,"Number of meters
(thousands):
Domestic Standard","Number of meters
(thousands):
Domestic E7","Number of meters
(thousands):
All Domestic","Number of meters
(thousands):
All Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic Standard","Total consumption
(GWh):
Domestic E7","Total consumption
(GWh):
All Domestic","Total consumption
(GWh):
All Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic Standard","Mean consumption
(kWh per meter):
Domestic E7","Mean consumption
(kWh per meter):
All Domestic","Mean consumption
(kWh per meter):
All Non-Domestic","Mean consumption
(kWh per meter):
All meters","Median consumption
(kWh per meter):
Domestic Standard","Median consumption
(kWh per meter):
Domestic E7","Median consumption
(kWh per meter):
All Domestic","Median consumption
(kWh per meter):
All Non-Domestic","Median consumption
(kWh per meter):
All meters","Mean domestic
consumption
(kWh per household)"
K03000001,Great Britain (inc unallocated),All local authorities,24842.33,3738.391,28580.721,2436.059,31016.78,88338.12096041912,20270.26645893267,108608.3874193532,148607.121252121,257215.5086714676,3555.951513421613,5422.190043506062,3800.057647928239,61003.08787764213,8292.785668643477,2835.3,4066.0,2937.0,6194.3,2998.9,3963.417027754291
E92000001,England,All local authorities,21072.513,3315.401,24387.914,2078.782,26466.696,75543.29608669491,17870.70579665736,93414.00188335389,124929.0313789782,218343.0332623236,3584.921081158897,5390.209448768749,3830.339974273892,60097.22586542417,8249.7276298607,2851.4,4038.4,2956.9,6156.9,3017.9,3967.837886184632
E12000001,North East,All local authorities,1177.5,57.305,1234.805,83.054,1317.859,3665.589409148579,296.3467338328302,3961.93614298148,6408.908499736549,10370.84464271804,3113.027099064611,5171.394011566709,3208.552073389304,77165.56095716702,7869.464519890245,2580.800000036182,3892.5,2608.900000058988,6444.100000011012,2657.800000057458,3365.670577755702
E12000002,North West,All local authorities,3070.091,207.738,3277.829,239.314,3517.143,10601.34750012972,1217.475347084275,11818.82284721383,16587.24101587844,28406.06386309232,3453.105298875415,5860.628999433301,3605.686217070454,69311.61994650727,8076.459746758183,2833.800000103608,4641.0,2891.5,7110.75,2954.60000020135,3739.106741317205
E12000003,Yorkshire and The Humber,All local authorities,2270.356,147.281,2417.637,186.688,2604.325,7744.099191680104,824.0494392444981,8568.14863092428,12896.10439264067,21464.2530235651,3410.962506179694,5595.083135261833,3544.017828534341,69078.37886013387,8241.772061307669,2750.0,4268.799999997837,2796.399999897096,6823.450000026254,2861.60000013017,3673.622889482499
E12000004,East Midlands,All local authorities,1523.905,573.793,2097.698,164.515,2262.213,5353.883790717879,2662.830879692249,8016.714670409689,11345.22812540399,19361.94279581368,3513.266109578929,4640.75176882996,3821.672457336418,68961.66383250151,8558.850468905306,2831.300000081551,3396.5,2963.300000114785,7262.900000002305,3029.600000107155,3932.078935926801
E12000005,West Midlands,All local authorities,2151.551,340.367,2491.918,202.252,2694.17,7740.688095539535,1785.281852016835,9525.96994755715,12646.7850601548,22172.75500771161,3597.724662598997,5245.167281248871,3822.746152785585,62529.83931014181,8229.901976382935,2917.399999919573,3915.400000007169,3010.3000001278,6767.150000017118,3073.800000134161,3901.478129806326
E12000006,East,All local authorities,2046.485,659.249,2705.734,222.719,2928.453,7810.191559140238,3550.761993687251,11360.95355282772,13358.67595415087,24719.62950697833,3816.393259242182,5386.071110744576,4198.843475680801,59979.95660069803,8441.19045345045,3003.199999886156,3958.90000004991,3174.699999881809,6774.900000021357,3239.69999996872,4374.795113435815
E12000007,London,All local authorities,3208.224,407.893,3616.117,391.23,4007.347,11061.33449302122,2073.802240239563,13135.13673326078,21042.38096563681,34177.51769889789,3447.806167219377,5084.181979684777,3632.387097336945,53785.19276547507,8528.714308717934,2653.699999884713,3917.70000002946,2745.399999806752,4688.650000039145,2799.600000217038,3707.402148114687
E12000008,South East,All local authorities,3370.332,590.614,3960.946,336.042,4296.988,13180.48538294568,3314.948912094737,16495.43429504122,19094.12984052892,35589.56413557036,3910.737987517457,5612.716447789483,4164.518853587304,56820.66479942663,8282.444385595296,3053.0,4275.0,3173.200000162738,6068.799999976628,3230.399999753554,4332.832151642038
E12000009,South West,All local authorities,2254.069,331.161,2585.23,252.968,2838.198,8385.676664368779,2145.208398765024,10530.88506313361,11549.57752484699,22080.46258798088,3720.239559822161,6477.841287968765,4073.480913935553,45656.27875797332,7779.747074721665,2938.600000097115,5337.09999997027,3092.199999868058,5747.5,3156.0,4307.006523414612
W92000004,Wales,All local authorities,1333.257,87.455,1420.712,125.583,1546.295,4559.140248149597,553.6300094757563,5112.770257625353,8508.50136089942,13621.27161852476,3419.550955404395,6330.455771262436,3598.737997303713,67752.01548696416,8808.973461418915,2815.7,4894.9,2875.4,5930.7,2939.6,3709.674674255045
S92000003,Scotland (inc unallocated),All local authorities,2425.82,335.08,2760.9,216.9,2977.8,8193.7248804749,1842.860938699617,10036.5858191746,12578.07786982921,22614.66368900417,3377.713466157794,5499.76405246394,3635.258726927667,57990.21608957681,7594.419937203363,2712.1,4192.9,2798.5,6856.0,2864.8,4044.251187969578
