Code,Country or region,Local authority,"Number of meters
(thousands):
Domestic Standard","Number of meters
(thousands):
Domestic E7","Number of meters
(thousands):
All Domestic","Number of meters
(thousands):
All Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic Standard","Total consumption
(GWh):
Domestic E7","Total consumption
(GWh):
All Domestic","Total consumption
(GWh):
All Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic Standard","Mean consumption
(kWh per meter):
Domestic E7","Mean consumption
(kWh per meter):
All Domestic","Mean consumption
(kWh per meter):
All Non-Domestic","Mean consumption
(kWh per meter):
All meters","Median consumption
(kWh per meter):
Domestic Standard","Median consumption
(kWh per meter):
Domestic E7","Median consumption
(kWh per meter):
All Domestic","Median consumption
(kWh per meter):
All Non-Domestic","Median consumption
(kWh per meter):
All meters","Mean domestic
consumption
(kWh per household)"
K03000001,Great Britain (inc unallocated),All local authorities,24155.002,3965.915,28120.917,2438.653,30559.57,82327.905344295,20850.50245029374,103178.4077945894,173831.1690489181,277009.5768435127,3408.317057655181,5257.42544918228,3669.098265699849,71281.63336436884,9064.57704881033,2771.2,3963.9,2881.3,8303.1,2967.6,3818.452753326257
E92000001,England,All local authorities,20452.835,3515.789,23968.624,2081.258,26049.882,70202.51816159686,18325.52398969809,88528.04215129565,146065.1362263634,234593.1783776666,3432.410135885654,5212.350340051149,3693.497054786944,70181.1770700045,9005.537083725238,2782.4,3924.9,2896.0,8254.349999999999,2981.8,3815.165644740004
E12000001,North East,All local authorities,1157.39,60.784,1218.174,83.583,1301.757,3466.803831999462,306.2087958990855,3773.012627898535,7418.861838785077,11191.87446668371,2995.363561115495,5037.654578492456,3097.26905015091,88760.41585950584,8597.514333845493,2545.400000055461,3812.800000004493,2575.400000058019,8695.60000001436,2643.199999944936,3238.392832042331
E12000002,North West,All local authorities,3003.337,217.818,3221.155,238.733,3459.888,9970.638895700207,1249.753296697641,11220.39219239775,19247.96165128573,30468.35384368343,3319.853514840395,5737.60339686179,3483.344388083701,80625.47553662765,8806.167668919754,2785.8000001344,4535.0,2847.199999941068,9513.400000047888,2932.100000196893,3595.537393050201
E12000003,Yorkshire and The Humber,All local authorities,2229.893,156.694,2386.587,186.91,2573.497,7270.349804200599,859.6035655985128,8129.953369799098,14817.43587390223,22947.38924370135,3260.402989829826,5485.874159817943,3406.518752427252,79275.77911241895,8916.812121289184,2691.899999932866,4206.700000004348,2742.100000093756,8953.25,2829.399999875733,3525.669174025556
E12000004,East Midlands,All local authorities,1440.692,619.722,2060.414,164.509,2224.923,4818.629479801916,2755.767115699715,7574.396595501868,13067.68956511182,20642.0861606137,3344.663175614161,4446.779549055406,3676.152751583841,79434.49638081699,9277.663164349375,2755.80000007175,3326.400000037872,2905.699999888255,9635.400000024994,2996.100000098951,3783.439450656707
E12000005,West Midlands,All local authorities,2089.378,363.244,2452.622,201.868,2654.49,7231.81084689877,1851.121870599783,9082.932717498825,15008.99755952956,24091.93027702822,3461.226665016464,5096.083818589661,3703.356129684405,74350.55362677375,9075.916758785386,2872.899999933395,3837.549999973284,2972.899999877342,8969.049999967103,3060.300000133104,3779.679512386865
E12000006,East,All local authorities,1952.607,700.954,2653.561,222.379,2875.94,7060.591034000039,3615.255997400277,10675.84703140044,15337.23525470878,26013.08228610923,3615.981625590833,5157.622322435249,4023.215230929471,68968.901086473,9045.071276212031,2908.699999892513,3820.800000013562,3093.600000150868,9074.400000039746,3182.100000175479,4170.443348934478
E12000007,London,All local authorities,3126.855,426.543,3553.398,393.204,3946.602,10493.34425520089,2118.38007440249,12611.72432960353,25671.48393879818,38283.20826840113,3355.878112416753,4966.392777287378,3549.201167334345,65287.95215409349,9700.296170832813,2591.699999866987,3858.5,2693.899999813941,6506.5,2778.200000088962,3608.525464982211
E12000008,South East,All local authorities,3257.576,625.419,3882.995,336.464,4219.459,12114.61329410092,3373.813826302419,15488.42712040262,21988.50677040605,37476.93389080774,3718.904269340431,5394.485658898145,3988.783688983019,65351.73679920004,8881.928676355841,2952.8000000223,4120.300000008986,3083.0,8156.050000030884,3164.399999758936,4126.066151740268
E12000009,South West,All local authorities,2195.107,344.611,2539.718,253.608,2793.326,7775.736719698999,2195.619447098049,9971.356166797257,13506.96377383609,23478.31994063299,3542.304188223626,6371.298208989408,3926.166671574268,53259.21806029814,8405.148536416085,2852.399999919379,5253.0,3014.5,7353.150000038662,3107.800000094231,4156.746026010628
W92000004,Wales,All local authorities,1311.579,91.355,1402.934,125.706,1528.64,4304.998209498202,576.2548503998776,4881.253059898087,9814.072123426446,14695.32518332441,3282.301873923112,6307.863284985798,3479.317672747319,78071.6284300387,9613.332886307053,2759.0,4897.2,2822.2,7671.15,2911.3,3592.445496502296
S92000003,Scotland (inc unallocated),All local authorities,2380.699,358.3,2738.999,217.169,2956.168,7781.658289399104,1945.619839995848,9727.278129394901,14923.94278932231,24651.22091871754,3268.644330677294,5430.141892257461,3551.398934207315,68720.41032247838,8338.910683938646,2687.0,4223.8,2785.4,9374.3,2875.2,3957.39871610754
