Code,Country or region,Local authority,"Number of meters
(thousands):
Domestic Standard","Number of meters
(thousands):
Domestic E7","Number of meters
(thousands):
All Domestic","Number of meters
(thousands):
All Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic Standard","Total consumption
(GWh):
Domestic E7","Total consumption
(GWh):
All Domestic","Total consumption
(GWh):
All Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic Standard","Mean consumption
(kWh per meter):
Domestic E7","Mean consumption
(kWh per meter):
All Domestic","Mean consumption
(kWh per meter):
All Non-Domestic","Mean consumption
(kWh per meter):
All meters","Median consumption
(kWh per meter):
Domestic Standard","Median consumption
(kWh per meter):
Domestic E7","Median consumption
(kWh per meter):
All Domestic","Median consumption
(kWh per meter):
All Non-Domestic","Median consumption
(kWh per meter):
All meters","Mean domestic
consumption
(kWh per household)"
K03000001,Great Britain (inc unallocated),All local authorities,23801.057,4095.845,27896.902,2402.855,30299.757,83256.70375519001,22117.96192609803,105374.6656812876,174287.8926066805,279662.5582879724,3498.0254765656,5400.097397752608,3777.289165703331,72533.67040736144,9229.861423904236,2851.2,4084.6,2967.6,8910.8,3055.8,3925.663940252578
E92000001,England,All local authorities,20133.819,3628.731,23762.55,2047.868,25810.418,70900.24818109024,19386.81668760215,90287.0648686923,146274.6607715422,236561.72564024,3521.450559433868,5342.588548889997,3799.552862327162,71427.77794835516,9165.35817592106,2861.5,4036.6,2981.4,8872.849999999999,3069.2,3917.485538532376
E12000001,North East,All local authorities,1146.778,63.472,1210.25,81.994,1292.244,3539.759185399255,332.5845069990732,3872.343692398382,7393.744690845981,11266.08838324437,3086.699592597045,5239.861781558376,3199.622964179618,90174.21629443596,8718.236171531358,2624.199999965607,4020.949999994913,2656.90000005889,9190.200000011455,2725.099999937785,3345.633862203898
E12000002,North West,All local authorities,2969.998,223.455,3193.453,235.755,3429.208,10187.64342539925,1339.166836400304,11526.81026179955,19280.92871337651,30807.73897517643,3430.185281403976,5993.004570944056,3609.513044907676,81783.75310545487,8983.922519478674,2880.399999838975,4771.200000020267,2947.100000181203,10241.40000005047,3033.100000201332,3714.906978126115
E12000003,Yorkshire and The Humber,All local authorities,2209.046,162.187,2371.233,182.081,2553.314,7397.365665298436,914.8313585990845,8312.197023897586,14740.52218100273,23052.71920490011,3348.669817332204,5640.596093392716,3505.432415919307,80955.85031388632,9028.548468735185,2765.899999927586,4356.700000007109,2820.300000120284,9773.79999996751,2906.5,3627.887204667253
E12000004,East Midlands,All local authorities,1396.72,645.701,2042.421,160.974,2203.395,4776.236207199007,2937.580431901014,7713.816639099817,13109.43285564493,20823.24949474488,3419.608946101586,4549.443832208736,3776.800492699505,81438.20030343365,9450.529521372644,2823.599999934605,3407.200000024829,2984.30000011309,10508.65000002935,3075.5,3881.546435549559
E12000005,West Midlands,All local authorities,2057.264,375.023,2432.287,197.21,2629.497,7301.379920297853,1963.338362200853,9264.718282498583,15027.38004880824,24292.09833130706,3549.0729047404,5235.247870666207,3809.056366497286,76199.88869128462,9238.306159431657,2944.300000112845,3949.700000027924,3051.699999872754,9767.799999969799,3140.899999844946,3880.833745932575
E12000006,East,All local authorities,1902.322,724.726,2627.048,219.241,2846.289,7046.231361600673,3825.111402698592,10871.3427642996,15434.24591459171,26305.5886788911,3704.016124294768,5278.01045181019,4138.235298441293,70398.53820495121,9242.065257214254,2987.800000107527,3923.90000005365,3185.800000134173,9688.299999978795,3278.0,4269.793572652974
E12000007,London,All local authorities,3084.174,435.511,3519.685,387.991,3907.676,10594.94743989961,2208.017890702343,12802.96533060184,25761.4705469015,38564.43587750308,3435.262550005158,5069.947465626225,3637.531577570675,66397.08278517156,9868.892886079366,2662.899999846345,3959.799999969244,2771.699999995917,6987.199999963333,2858.700000100967,3692.911319007726
E12000008,South East,All local authorities,3201.729,645.99,3847.719,332.33,4180.049,12199.60338279977,3555.345197503552,15754.94858030353,22017.34767408875,37772.29625439078,3810.317295061442,5503.71553352769,4094.620366067152,66251.45991661526,9036.328582366086,3035.699999985011,4226.75,3175.60000022698,8748.699999961003,3261.5,4224.464051799401
E12000009,South West,All local authorities,2165.788,352.666,2518.454,250.292,2768.746,7857.081593196179,2310.840700597256,10167.92229379282,13509.58814628217,23677.51044007527,3627.816569856412,6552.490743642017,4037.366691546805,53975.30942372179,8551.709127552787,2928.0,5422.400000034896,3099.199999869467,7819.15000004109,3197.899999828796,4274.664554735639
W92000004,Wales,All local authorities,1299.804,93.81,1393.614,124.577,1518.191,4363.187747101479,614.1758369010685,4977.363584002529,9821.47015888621,14798.83374288879,3356.804369813817,6547.0188348904,3571.551077990411,78838.55092742809,9747.675847695573,2830.9,5129.200000000001,2901.6,8220.9,2984.3,3687.17909685221
S92000003,Scotland (inc unallocated),All local authorities,2357.986,372.818,2730.804,215.987,2946.791,7955.478866098597,2113.702258994935,10069.18112509356,15096.83341164853,25166.01453674235,3373.84482609252,5669.528453548206,3687.258816485386,69896.95403727324,8540.14232320594,2778.5,4423.1,2887.0,9950.8,2978.7,4117.602536475053
