Code,Country or region,Local authority,"Number of meters
(thousands):
Domestic
","Number of meters
(thousands):
Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic
","Total consumption
(GWh):
Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic
","Mean consumption
(kWh per meter):
Non-Domestic","Mean consumption
(kWh per meter):
All meters","Mean domestic
consumption
(kWh per household)"
UKC,North East,All local authorities,1195.072,80.474,1275.546,4209.401683399999,7471.9070749,11681.3087583,3522.299646715846,92848.70983050426,9157.889059508634,3745.41915809517
UKD,North West,All local authorities,3139.393999999999,233.212,3372.606,12405.7072452,18609.6413312,31015.34857639999,3951.624818420371,79797.1001972454,9196.25612253551,4142.826788017911
UKE,Yorkshire and The Humber,All local authorities,2338.249,178.213,2516.462,8883.637621499998,15239.0667001,24122.70432159999,3799.269291465536,85510.41001554322,9585.96009858285,4014.136636907343
UKF,East Midlands,All local authorities,1984.663,155.399,2140.062,7984.5399947,12597.6238206,20582.1638153,4023.121303062534,81066.3120135908,9617.554919109822,4230.919227284192
UKG,West Midlands,All local authorities,2371.013,192.532,2563.545,9747.0941634,14862.3021132,24609.3962766,4110.940835583778,77193.93198637108,9599.752013949435,4265.48324977058
UKH,East,All local authorities,2547.209999999999,213.576,2760.786,11193.4351492,14953.9888495,26147.4239987,4394.390391526417,70017.17819183804,9471.007169226445,4631.273117896964
UKI,London,All local authorities,3396.094999999999,398.5240000000001,3794.619,13373.9108031,26571.8316418,39945.7424449,3938.026116201108,66675.6121131977,10526.94419252631,4112.934796632255
UKJ,South East,All local authorities,3712.417999999999,329.53,4041.948,16361.0855146,22660.0255483,39021.11106290001,4407.123743770234,68764.6816626711,9654.035891332596,4615.568021257287
UKK,South West,All local authorities,2429.111,245.622,2674.733,10489.1576864,13825.8838929,24315.0415793,4318.105548243781,56289.27332608643,9090.642534899744,4643.07950148179
UKL,Wales,All local authorities,1374.948,123.556,1498.504,5287.0167621,9938.7640577,15225.7808198,3845.248520016758,80439.34780747192,10160.65410556128,4055.000942978867
UKM,Scotland,All local authorities,2746.996,211.857,2958.853,11150.0247595,15507.8137632,26657.8385227,4058.988349273171,73199.44001472693,9009.517716054159,4691.934082259732
