Code,Country or region,Local authority,"Number of meters
(thousands):
Domestic
","Number of meters
(thousands):
Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic
","Total consumption
(GWh):
Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic
","Mean consumption
(kWh per meter):
Non-Domestic","Mean consumption
(kWh per meter):
All meters","Mean domestic
consumption
(kWh per household)"
UKC,North East,All local authorities,1192.89,79.842,1272.732,4250.173494950005,7892.340697150001,12142.51419210001,3562.921556011037,98849.48645011398,9540.511429036127,3815.548213498593
UKD,North West,All local authorities,3134.206,234.5979999999999,3368.803999999999,12555.00071585,20777.1728793,33332.17359515001,4005.799464314089,88565.00430225325,9894.364170533523,4233.58057572309
UKE,Yorkshire and The Humber,All local authorities,2332.16,175.757,2507.917,8999.615594699986,15676.1634232,24675.77901789999,3858.918596794382,89192.2564859437,9839.152977510814,4104.639761291314
UKF,East Midlands,All local authorities,1976.299,153.505,2129.804000000001,8109.448507149993,13075.02562075,21184.47412789999,4103.351014775595,85176.54552457576,9946.677782509558,4334.475646260282
UKG,West Midlands,All local authorities,2363.732,191.767,2555.499000000001,9912.928897099991,15004.8564771,24917.78537419999,4193.761770412209,78245.24802025374,9750.653541324014,4380.166007007959
UKH,East,All local authorities,2534.895,212.191,2747.086,11360.50760079999,15958.03299575,27318.54059654998,4481.648194816745,75205.98421115881,9944.552371694946,4751.354494095364
UKI,London,All local authorities,3377.617,399.902,3777.519000000001,13468.49444884999,28245.42533019999,41713.91977904997,3987.573028217819,70630.86788813255,11042.67636484422,4198.716068306121
UKJ,South East,All local authorities,3698.603999999999,328.4210000000001,4027.024999999998,16538.23431349999,23458.7463499,39996.98066339999,4471.480135072584,71428.8865507991,9932.141137291177,4717.697880917041
UKK,South West,All local authorities,2414.513,245.4210000000001,2659.934,10668.61089990002,14332.7341161,25001.34501600002,4418.535290512007,58400.60188859143,9399.235099818274,4780.646793211233
UKL,Wales,All local authorities,1369.129,123.688,1492.817,5361.142615500004,10456.65767285,15817.80028835,3915.732276140527,84540.5995153127,10595.94061988174,4139.447493486043
UKM,Scotland,All local authorities,2741.838999999999,212.1720000000001,2954.011,11371.93115345001,16018.7980418,27390.72919525001,4147.556130556904,75499.11412344698,9272.385646245057,4808.732542634843
