Code,Country or region,Local authority,"Number of meters
(thousands):
Domestic
","Number of meters
(thousands):
Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic
","Total consumption
(GWh):
Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic
","Mean consumption
(kWh per meter):
Non-Domestic","Mean consumption
(kWh per meter):
All meters","Mean domestic
consumption
(kWh per household)"
UKC,North East,All local authorities,1184.236,81.974,1266.21,4429.8381379,8912.3170503,13342.1551882,3740.671739332363,108721.2658928441,10537.07930611826,4010.0
UKD,North West,All local authorities,3108.904,243.374,3352.278,13138.7960598,22213.93866286712,35352.73472266711,4226.182622493329,91274.9047263353,10545.88394001545,4498.0
UKE,Yorkshire and The Humber,All local authorities,2298.064,178.936,2477.0,9376.5924338,16082.83550900959,25459.42794280958,4080.213794654979,89880.37906854734,10278.33182995946,4294.0
UKF,East Midlands,All local authorities,1957.139000000001,161.265,2118.404,8517.647309299999,14119.5797678,22637.2270771,4352.091143909552,87555.14071745264,10685.98203038703,4607.0
UKG,West Midlands,All local authorities,2347.907,199.737,2547.644,10407.2089314,16557.7445492,26964.9534806,4432.547341696242,82897.73326524378,10584.27059691228,4677.0
UKH,East,All local authorities,2488.814,217.407,2706.221,11933.8374821,16323.5623789,28257.39986099999,4794.9896947301,75082.96595279821,10441.64532793146,5035.0
UKI,London,All local authorities,3310.019,412.5219999999999,3722.541,13773.6957197,28423.36994869999,42197.0656684,4161.21349143313,68901.4645248011,11335.55430776988,4293.0
UKJ,South East,All local authorities,3581.401000000001,332.9540000000001,3914.355,16980.7493812,23805.8393268,40786.58870799998,4741.37059245809,71498.88371006203,10419.74698462454,4931.0
UKK,South West,All local authorities,2336.745,242.67,2579.415,11039.3980332,15227.7462851,26267.14431829999,4724.263038200572,62750.83976222854,10183.37270981986,4968.0
UKL,Wales,All local authorities,1303.048,124.182,1427.23,5398.913634300001,11233.7160001,16632.6296344,4143.296052255942,90461.7094272922,11653.78364692446,4209.0
UKM,Scotland,All local authorities,2720.96,224.814,2945.774,12001.268287,16961.18147065754,28962.44975765754,4410.674279298483,75445.39695329267,9831.864140853146,5186.0
