Code,Country or region,Local authority,"Number of meters
(thousands):
Domestic Standard","Number of meters
(thousands):
Domestic E7","Number of meters
(thousands):
All Domestic","Number of meters
(thousands):
All Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic Standard","Total consumption
(GWh):
Domestic E7","Total consumption
(GWh):
All Domestic","Total consumption
(GWh):
All Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic Standard","Mean consumption
(kWh per meter):
Domestic E7","Mean consumption
(kWh per meter):
All Domestic","Mean consumption
(kWh per meter):
All Non-Domestic","Mean consumption
(kWh per meter):
All meters","Median consumption
(kWh per meter):
Domestic Standard","Median consumption
(kWh per meter):
Domestic E7","Median consumption
(kWh per meter):
All Domestic","Median consumption
(kWh per meter):
All Non-Domestic","Median consumption
(kWh per meter):
All meters","Mean domestic
consumption
(kWh per household)"
K03000001,Great Britain (inc unallocated),All local authorities,23457.814,4259.242,27717.056,2367.374,30084.43,83615.570017392,22815.62269610551,106431.1927134955,171175.5128350264,277606.7055485247,3564.508185519418,5356.733122021597,3839.916934666349,72306.07112987908,9227.587344966305,2940.5,4102.3,3061.5,8720.6,3147.6,3992.713429275893
E92000001,England,All local authorities,19822.674,3772.71,23595.384,2018.538,25613.922,71141.85909029785,20002.5960730038,91144.45516330094,143570.1436514684,234714.5988147747,3588.913336833257,5301.917208850878,3862.80872408353,71125.8067232167,9163.555616932645,2950.5,4058.6,3074.9,8679.5,3160.1,3982.858689422166
E12000001,North East,All local authorities,1137.5,66.028,1203.528,80.173,1283.701,3624.687555398322,346.3627990987062,3971.050354497069,7183.406160306094,11154.45651480324,3186.538510240283,5245.69575178267,3299.508075007037,89598.81955653516,8689.294870692815,2735.800000039153,4040.25,2769.199999950601,8435.899999986557,2834.599999936902,3448.786777615625
E12000002,North West,All local authorities,2943.73,229.674,3173.404,232.933,3406.337,10267.45245789891,1354.262843501792,11621.71530140063,19051.98905208123,30673.70435348218,3487.905636012444,5896.456906318487,3662.223688317225,81791.71286198703,9004.894217302097,2969.0,4722.200000020666,3036.5,9976.199999996603,3121.0,3768.525813153663
E12000003,Yorkshire and The Humber,All local authorities,2190.514,168.814,2359.328,178.163,2537.491,7458.63328610086,939.957262701337,8398.590548802313,14305.65229260484,22704.24284140744,3404.969466573079,5568.005394702673,3559.73842924863,80295.3042584871,8947.516598643086,2847.800000114794,4300.700000007395,2902.5,9508.400000028882,2986.800000128505,3686.993111981057
E12000004,East Midlands,All local authorities,1351.389,678.927,2030.316,158.848,2189.164,4680.686060996816,3049.079526700638,7729.765587697763,12816.91450246577,20546.68009016353,3463.611188929921,4491.027056959935,3807.173655577636,80686.65958945513,9385.628527677016,2892.699999930236,3438.200000012556,3056.0,10323.45000003057,3145.199999877756,3928.6986097158
E12000005,West Midlands,All local authorities,2026.773,389.712,2416.485,193.898,2610.383,7335.834948999161,2023.894231801287,9359.729180800638,14739.04508499968,24098.7742658006,3619.465499589328,5193.307447041115,3873.282549157408,76014.4255484826,9231.892126864372,3041.300000113903,3976.599999980775,3149.899999867271,9405.799999967478,3236.100000158495,3954.981701680383
E12000006,East,All local authorities,1850.085,758.219,2608.304,216.215,2824.519,6988.870678099599,3972.649466201584,10961.52014430084,15055.94991546829,26017.47005976916,3777.59436896121,5239.448584382064,4202.546997704577,69634.16005119112,9211.292280125981,3085.300000107714,3957.699999967547,3286.899999839778,9529.0,3376.699999970424,4336.008341821859
E12000007,London,All local authorities,3044.215,447.076,3491.291,385.093,3876.384,10685.02552540251,2261.628402403066,12946.65392780573,25756.57104770074,38703.22497550648,3509.94444393793,5058.711275942045,3708.271217668687,66884.02813788029,9984.362997965754,2750.0,3991.799999968705,2860.799999987818,6937.300000032822,2945.299999886678,3755.728655436909
E12000008,South East,All local authorities,3142.974,672.033,3815.007,327.204,4142.211,12214.14357350014,3691.983661003213,15906.12723450346,21504.58940684883,37410.71664135238,3886.173914738125,5493.753522525252,4169.357286763421,65722.2693085929,9031.581597690792,3128.699999993218,4268.400000054425,3274.799999842154,8569.5,3357.5,4293.391623905427
E12000009,South West,All local authorities,2135.494,362.227,2497.721,246.011,2743.732,7886.525003899856,2362.777879592176,10249.30288349178,13156.02618899198,23405.32907248392,3693.068209931686,6522.920377531704,4103.461869236709,53477.38999065887,8530.472025869845,3018.800000117586,5427.700000032908,3201.0,7630.0,3295.69999993803,4348.655594232986
W92000004,Wales,All local authorities,1290.941,96.541,1387.482,122.58,1510.062,4407.491841797178,627.9789499025196,5035.4707916997,9722.38741607741,14757.85820777708,3414.169851137409,6504.790191758108,3629.215219872907,79314.6305765819,9773.014755537908,2905.0,5135.6,2976.1,7987.15,3065.3,3753.350519166685
S92000003,Scotland (inc unallocated),All local authorities,2335.619,389.439,2725.058,212.478,2937.536,8031.405024097912,2181.678967198935,10213.08399129679,14814.15947168015,25027.24346297737,3438.662309262731,5602.107049368283,3747.840960191228,69720.9097962149,8519.808255278358,2879.1,4404.9,2992.0,9719.85,3084.6,4201.907110885243
