Code,Country or region,Local authority,"Number of meters
(thousands):
Domestic
","Number of meters
(thousands):
Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic
","Total consumption
(GWh):
Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic
","Mean consumption
(kWh per meter):
Non-Domestic","Mean consumption
(kWh per meter):
All meters"
UKC,North East,All local authorities,1170.117,82.18199999999999,1252.299,4548.2569081,9348.7635113,13897.0204194,3887.010365715566,113756.8264498309,11097.20635359447
UKD,North West,All local authorities,2910.574000000001,236.806,3147.38,13177.2987212,23114.72752699176,36292.02624819176,4527.388316256518,97610.39638772563,11530.868928503
UKE,Yorkshire and The Humber,All local authorities,2269.004,181.093,2450.097,9803.550540399996,17032.0706406,26835.621181,4320.640483842249,94051.51298283205,10952.8811230739
UKF,East Midlands,All local authorities,1911.397,161.378,2072.775,8643.9407054,15294.27904959041,23938.21975499041,4522.315722688693,94773.01149841005,11548.87518181685
UKG,West Midlands,All local authorities,2130.54,186.592,2317.132,10315.1539583,16938.70725781918,27253.86121611918,4841.567845851286,90779.38634999988,11761.89410707684
UKH,East,All local authorities,2440.146,218.023,2658.169,12081.1593343,17191.93829246438,29273.09762676439,4950.998560864801,78853.78282320849,11012.5043316525
UKI,London,All local authorities,3248.592,421.08,3669.672,13885.2059354,27549.65127247399,41434.85720787399,4274.222781869807,65426.1690711361,11291.16095604021
UKJ,South East,All local authorities,3551.822999999999,339.9019999999999,3891.724999999999,17357.6126454,24399.76822436009,41757.38086976009,4886.958794230456,71784.71507775801,10729.78714317176
UKK,South West,All local authorities,2297.777,242.468,2540.245,11455.2618548,15811.5541474,27266.8160022,4985.367098199696,65210.89029232723,10733.93157045876
UKL,Wales,All local authorities,1316.723,128.443,1445.166,5655.512523900001,11911.63512535933,17567.14764925933,4295.142200675466,92738.68661865054,12155.79916027593
UKM,Scotland,All local authorities,2675.722000000001,227.345,2903.067,12391.50234380001,17113.81955422055,29505.32189802055,4631.087364008668,75276.86799454814,10163.50015277655
