Code,Country or region,Local authority,"Number of meters
(thousands):
Domestic Standard","Number of meters
(thousands):
Domestic E7","Number of meters
(thousands):
All Domestic","Number of meters
(thousands):
All Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic Standard","Total consumption
(GWh):
Domestic E7","Total consumption
(GWh):
All Domestic","Total consumption
(GWh):
All Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic Standard","Mean consumption
(kWh per meter):
Domestic E7","Mean consumption
(kWh per meter):
All Domestic","Mean consumption
(kWh per meter):
All Non-Domestic","Mean consumption
(kWh per meter):
All meters","Median consumption
(kWh per meter):
Domestic Standard","Median consumption
(kWh per meter):
Domestic E7","Median consumption
(kWh per meter):
All Domestic","Median consumption
(kWh per meter):
All Non-Domestic","Median consumption
(kWh per meter):
All meters","Mean domestic
consumption
(kWh per household)"
K03000001,Great Britain (inc unallocated),All local authorities,25722.018,3517.918,29239.936,2441.692,31681.628,80626.961718013,15890.49903140147,96517.46074941519,152526.9770527893,249044.4378022073,3134.550396396309,4517.018029243851,3300.877975567908,62467.7383768261,7860.847233046461,2466.1,3295.1,2533.1,6913.0,2603.3,3449.174944439775
E92000001,England,All local authorities,21848.714,3119.703,24968.417,2082.685,27051.102,69207.60006588802,14025.86436177126,83233.46442766284,128193.249869819,211426.7142974803,3167.58231472516,4495.897321562746,3333.549917388149,61551.91489342797,7815.826294155422,2489.6,3280.7,2558.3,6876.5,2627.8,3462.171863479507
E12000001,North East,All local authorities,1203.583,53.209,1256.792,83.775,1340.567,3283.517363456747,237.988935087318,3521.506298544048,6384.024119449994,9905.530417994085,2728.118761611577,4472.719560362308,2801.980199224731,76204.40608116973,7389.06031402689,2232.800000015727,3266.199999998024,2253.300000025103,7184.899999987305,2309.199999959917,2954.452350087126
E12000002,North West,All local authorities,3150.649,199.405,3350.054,239.404,3589.458,9694.228508948438,972.0100870693317,10666.23859601775,16530.67175478027,27196.91035079766,3076.898921126548,4874.55222822563,3183.900497131613,69049.2713354007,7576.884964470306,2494.100000141953,3714.0,2534.0,7928.450000024981,2604.175500033862,3318.179613847241
E12000003,Yorkshire and The Humber,All local authorities,2324.174,139.038,2463.212,190.542,2653.754,6978.96636220241,643.3191759080029,7622.285538110179,12927.50919290293,20549.79473101288,3002.772753762158,4626.930593852061,3094.44966089406,67845.98247579498,7743.669809263737,2396.199999893939,3404.949999991834,2427.399999933355,7222.25,2499.100000099667,3216.769086289565
E12000004,East Midlands,All local authorities,1623.016,533.921,2156.937,163.317,2320.254,5043.329671668337,2056.666768289856,7099.996439958129,11583.65478740259,18683.65122736077,3107.381363873392,3852.005761694814,3291.703206889274,70927.42817589465,8052.416342073227,2478.0,2782.900000015788,2545.699999894884,8242.099999983291,2617.399999925797,3395.293374994144
E12000005,West Midlands,All local authorities,2225.387,320.866,2546.253,199.518,2745.771,7112.914635975153,1400.757739618943,8513.672375594151,12870.15899767791,21383.83137327205,3196.259633032436,4365.553656725682,3343.608186458357,64506.2550630916,7787.915078596158,2565.5,3174.89999998333,2620.899999900748,7664.900000027652,2692.0,3409.195883177149
E12000006,East,All local authorities,2164.735,617.06,2781.795,226.79,3008.585,7205.262651854821,2739.139708698456,9944.40236055322,13582.03327036491,23526.43563091776,3328.473301283908,4439.016803387767,3574.814952414977,59888.1488176944,7819.767641904004,2590.89999995501,3184.849999964745,2693.300000127741,7282.099999970212,2764.699999865626,3749.254387231795
E12000007,London,All local authorities,3317.995,385.789,3703.784,392.842,4096.626,10221.08840647181,1679.040381700906,11900.12878817271,22741.69906077517,34641.82784894876,3080.501449360777,4352.22461423448,3212.965115722923,57890.19264939893,8456.185126235288,2339.800000130418,3288.200000024783,2407.69999992342,5361.849999953407,2475.600000199341,3278.537927912815
E12000008,South East,All local authorities,3506.461,555.907,4062.368,336.783,4399.151,12028.67910609855,2606.065959988932,14634.74506608731,19909.49122430693,34544.23629039467,3430.432879789209,4687.95312883078,3602.515839551541,59116.67520126293,7852.477964587864,2647.0,3483.900000034891,2727.899999788875,6870.599999950816,2794.600000229134,3766.70209927159
E12000009,South West,All local authorities,2332.714,314.508,2647.222,249.714,2896.936,7639.613359212153,1690.875605409414,9330.488964621698,11664.00746215771,20994.49642677899,3274.989286818767,5376.256265053397,3524.634112523127,46709.4654771367,7247.138503156089,2551.5,4235.099999991871,2657.899999886146,6204.299999969305,2730.5,3718.665592955271
W92000004,Wales,All local authorities,1359.462,83.976,1443.438,124.038,1567.476,4087.413674361499,433.0099126458049,4520.423587007313,8593.675398149786,13114.09898515712,3006.640622806301,5156.353156208975,3131.706098223348,69282.60209088978,8366.379443868438,2437.3,3836.45,2479.1,6550.6,2550.4,3213.646901751583
S92000003,Scotland (inc unallocated),All local authorities,2492.151,313.439,2805.59,216.797,3022.387,7266.187292640067,1428.232012677485,8694.419305317559,13068.29233881125,21762.71164412863,2915.628825315989,4556.650616794607,3098.962893836077,60278.93531188739,7200.504648851597,2288.5,3329.5,2346.1,7878.4,2422.1,3429.331839229742
