Code,Country or region,Local authority,"Number of meters
(thousands):
Domestic Standard","Number of meters
(thousands):
Domestic E7","Number of meters
(thousands):
All Domestic","Number of meters
(thousands):
All Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic Standard","Total consumption
(GWh):
Domestic E7","Total consumption
(GWh):
All Domestic","Total consumption
(GWh):
All Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic Standard","Mean consumption
(kWh per meter):
Domestic E7","Mean consumption
(kWh per meter):
All Domestic","Mean consumption
(kWh per meter):
All Non-Domestic","Mean consumption
(kWh per meter):
All meters","Median consumption
(kWh per meter):
Domestic Standard","Median consumption
(kWh per meter):
Domestic E7","Median consumption
(kWh per meter):
All Domestic","Median consumption
(kWh per meter):
All Non-Domestic","Median consumption
(kWh per meter):
All meters","Mean domestic
consumption
(kWh per household)"
K03000001,Great Britain (inc unallocated),All local authorities,23122.78,4387.596,27510.376,2365.469,29875.845,84562.95968362835,23783.34533530984,108346.3050189403,179190.1484763717,287536.4534953173,3657.127719228758,5420.586885235068,3938.379650606751,75752.48226731007,9624.378942095775,3049.1,4190.0,3175.2,9261.4,3266.4,4099.276222408656
E92000001,England,All local authorities,19522.138,3883.685,23405.823,2016.889,25422.712,71790.16673593035,20802.37398581256,92592.54072174335,150262.4352930389,242854.9760147929,3677.372157492707,5356.349442813349,3955.961758821441,74502.08479149763,9552.67777941208,3057.6,4144.1,3187.1,9189.6,3276.8,4082.351486406189
E12000001,North East,All local authorities,1128.308,69.131,1197.439,80.154,1277.593,3714.243632501603,369.9806719095223,4084.224304411123,7834.92358377735,11919.14788818845,3291.870333722355,5351.877911639095,3410.799468207669,97748.37916731978,9329.37789122862,2844.800000043345,4145.0,2880.0,9758.600000014845,2950.40000006414,3570.856542694155
E12000002,North West,All local authorities,2918.338,235.231,3153.569,233.021,3386.59,10525.24718340748,1419.410900608684,11944.65808401649,20045.49329990978,31990.15138392655,3606.589498340315,6034.114978930005,3787.663464479923,86024.40681273265,9446.124681147276,3092.449999924556,4836.799999978051,3163.399999808009,10622.40000005127,3254.600000210938,3902.752224507138
E12000003,Yorkshire and The Humber,All local authorities,2170.613,173.867,2344.48,177.99,2522.47,7595.015842001806,980.2585650050846,8575.274407006984,15104.86577935822,23680.14018636542,3499.018867942745,5637.9794038264,3657.644512645441,84863.56412921075,9387.679610209603,2955.199999883155,4375.799999990721,3011.75,10335.90000003401,3101.199999869585,3791.575855401655
E12000004,East Midlands,All local authorities,1313.265,701.402,2014.667,158.8,2173.467,4653.163661005097,3201.07385989535,7854.23752090018,13272.58726037307,21126.82478127332,3543.202370431784,4563.821973554895,3898.528898770953,83580.52430965407,9720.333817478398,2992.0,3558.199999999272,3170.300000116581,10813.4500000313,3264.800000124243,4033.525171229715
E12000005,West Midlands,All local authorities,1997.975,401.557,2399.532,194.449,2593.981,7404.440153213477,2112.438107188892,9516.878260402398,15368.68846069944,24885.56672110194,3705.972373635044,5260.6183111959,3966.139339005439,79037.11749970143,9593.580955720932,3147.699999884655,4076.59999997671,3262.600000139405,10078.20000003354,3353.300000104077,4059.434888212644
E12000006,East,All local authorities,1804.457,783.549,2588.006,215.683,2803.689,6942.404296403089,4113.795693001388,11056.19998940481,15620.7293685435,26676.92935794832,3847.364773116283,5250.208593210364,4272.09210079297,72424.48115309737,9514.938838775743,3179.800000108007,4024.599999942269,3388.39999983506,9948.29999997985,3481.899999812304,4411.762941225101
E12000007,London,All local authorities,2997.591,456.462,3454.053,384.338,3838.391,10730.35756920042,2321.249453897851,13051.60702309853,26662.2139621139,39713.82098521252,3579.660323640024,5085.307109678026,3778.635424267819,69371.78723444963,10346.47616285379,2832.5,4051.2000000319,2947.700000025857,7246.0,3036.100000222219,3826.495799171097
E12000008,South East,All local authorities,3087.358,692.546,3779.904,327.374,4107.278,12262.59922489712,3840.015225706712,16102.61445060405,22493.96676601997,38596.58121662356,3971.874730723525,5544.78002285294,4260.05910483548,68710.30309682495,9397.119264053605,3243.5,4345.699999965294,3394.399999766039,8983.099999942295,3479.799999763886,4387.069142770753
E12000009,South West,All local authorities,2104.233,369.94,2474.173,245.08,2719.253,7962.695173301224,2444.151508599301,10406.84668190041,13858.96681224341,24265.81349414336,3784.131877649112,6606.886275069742,4206.192001084972,56548.74658170152,8923.70569937529,3140.199999880653,5504.900000038369,3328.800000133597,7964.200000027891,3426.100000181277,4454.690156218405
W92000004,Wales,All local authorities,1280.237,98.908,1379.145,122.245,1501.39,4518.078454798073,659.0634702985307,5177.141925096582,10204.38151912723,15381.5234442238,3529.095358748476,6663.399020286839,3753.877891807302,83474.83757312958,10244.85539681482,3030.8,5266.1,3105.4,8530.8,3201.0,3885.722526330087
S92000003,Scotland (inc unallocated),All local authorities,2312.256,404.4,2716.656,212.588,2929.244,8221.077958800091,2318.426572498489,10539.50453129857,15644.30042189687,26183.80495319577,3555.435885472928,5733.003393913178,3879.587452845915,73589.76246023705,8938.75858521713,2991.1,4526.65,3110.6,10556.24990234375,3209.4,4360.453761419247
