Code,Country or region,Local authority,"Number of meters
(thousands):
Domestic
","Number of meters
(thousands):
Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic
","Total consumption
(GWh):
Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic
","Mean consumption
(kWh per meter):
Non-Domestic","Mean consumption
(kWh per meter):
All meters"
UKC,North East,All local authorities,1173.785,82.41199999999999,1256.197,4494.073764150002,9314.65738475,13808.7311489,3828.702670548696,113025.4985287337,10992.48855784563
UKD,North West,All local authorities,3064.163,242.567,3306.73,13110.64818070001,23354.8226021,36465.4707828,4278.704553478391,96281.94520318096,11027.65293289746
UKE,Yorkshire and The Humber,All local authorities,2272.753,179.54,2452.293,9564.316057300002,17157.17632895,26721.49238625,4208.251427805838,95561.85991394676,10896.53332054938
UKF,East Midlands,All local authorities,1927.675,161.288,2088.963,8510.221411749999,14989.1474099096,23499.36882165959,4414.759444278729,92934.05219179107,11249.29872939808
UKG,West Midlands,All local authorities,2324.806999999999,200.926,2525.732999999999,10436.20647485,17299.6801800294,27735.8866548794,4489.063597472824,86099.75901590339,10981.321721211
UKH,East,All local authorities,2456.868,217.366,2674.234,11973.36063495,16827.1855393555,28800.5461743055,4873.424471705439,77414.06447814057,10769.64326020292
UKI,London,All local authorities,3267.367,415.4390000000001,3682.806,13700.84557235,29142.5234906363,42843.3690629863,4193.237420941695,70148.74263282045,11633.3494251357
UKJ,South East,All local authorities,3564.967000000001,337.1060000000001,3902.073000000001,17041.13130715,24632.0067253761,41673.13803252611,4780.165232146609,73069.02495172468,10679.74331400927
UKK,South West,All local authorities,2336.683,244.056,2580.739,11181.0718086,15782.81749677877,26963.88930537877,4785.018681866561,64668.83623749784,10448.12718580948
UKL,Wales,All local authorities,1328.494,125.084,1453.578,5599.7769907,11794.2574551,17394.0344458,4215.131563033028,94290.69629289117,11966.3578052227
UKM,Scotland,All local authorities,2695.935,225.006,2920.941,12116.5580593,17310.74637601301,29427.30443531301,4494.380635772004,76934.59897075192,10074.59734219658
