Code,Country or region,Local authority,"Number of meters
(thousands):
Domestic Standard","Number of meters
(thousands):
Domestic E7","Number of meters
(thousands):
All Domestic","Number of meters
(thousands):
All Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic Standard","Total consumption
(GWh):
Domestic E7","Total consumption
(GWh):
All Domestic","Total consumption
(GWh):
All Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic Standard","Mean consumption
(kWh per meter):
Domestic E7","Mean consumption
(kWh per meter):
All Domestic","Mean consumption
(kWh per meter):
All Non-Domestic","Mean consumption
(kWh per meter):
All meters","Median consumption
(kWh per meter):
Domestic Standard","Median consumption
(kWh per meter):
Domestic E7","Median consumption
(kWh per meter):
All Domestic","Median consumption
(kWh per meter):
All Non-Domestic","Median consumption
(kWh per meter):
All meters","Mean domestic
consumption
(kWh per household)"
K03000001,Great Britain (inc unallocated),All local authorities,24535.574,3832.154,28367.728,2438.515,30806.243,83015.38310146387,19911.02174638359,102926.4048478452,169662.1752166454,272588.5800644945,3383.470185024563,5195.778078434109,3628.292151131922,69576.02279118456,8848.485031572804,2746.2,3918.8,2849.9,7939.7,2933.1,3780.277182298677
E92000001,England,All local authorities,20794.49,3399.81,24194.3,2081.122,26275.422,70865.95647416514,17517.17398658465,88383.1304607478,142554.7964665619,230937.9269273187,3407.919909272367,5152.397924173601,3653.055904107488,68499.00989301057,8789.123422159259,2759.0,3886.0,2866.5,7890.1,2948.9,3779.45713560855
E12000001,North East,All local authorities,1167.944,58.694,1226.638,83.051,1309.689,3469.26614649934,295.1008797000757,3764.367026199438,7246.449338962871,11010.81636516243,2970.404528384357,5027.786139981527,3068.849184681575,87253.00524933921,8407.19923979084,2517.0,3788.300000004208,2545.099999942159,8398.799999991721,2609.099999938775,3212.709470338196
E12000002,North West,All local authorities,3039.313,211.716,3251.029,239.018,3490.047,9987.666366025855,1193.738402400174,11181.40476842611,18750.15703864393,29931.56180707021,3286.159196511137,5638.394842147849,3439.343287441025,78446.6317961155,8576.263244325997,2750.10000015611,4440.950000016575,2807.899999824793,9120.349999953985,2890.5,3558.29501065162
E12000003,Yorkshire and The Humber,All local authorities,2253.403,151.369,2404.772,186.573,2591.345,7306.360879800341,819.894523500127,8126.255403300191,14562.79183632423,22689.04723962471,3242.3676012681,5416.528638625657,3379.220734148681,78054.12270973953,8755.70301894372,2668.800000112331,4123.0,2715.899999906708,8730.099999971682,2798.10000012333,3502.471351322778
E12000004,East Midlands,All local authorities,1486.641,592.402,2079.043,164.524,2243.567,4933.86986790016,2612.529950699721,7546.399818599934,12786.34255440189,20332.74237300165,3318.803845649461,4410.062678214661,3629.746868438957,77717.1874887669,9062.685613133748,2730.0,3295.400000034622,2869.800000111517,9260.700000029414,2956.100000097681,3733.076799855125
E12000005,West Midlands,All local authorities,2123.673,349.867,2473.54,202.514,2676.054,7285.443016134431,1755.093567199816,9040.536583334137,14557.89993595748,23598.43651929157,3430.58607240118,5016.459303677728,3654.898074554742,71885.89399230415,8818.3708248382,2836.600000068235,3785.5,2930.399999878504,8582.75,3014.899999850375,3730.329901413784
E12000006,East,All local authorities,2004.851,676.824,2681.675,223.043,2904.718,7208.845693384247,3457.838978182727,10666.68467156756,15039.64879578034,25706.33346734826,3595.70147276992,5108.918977729406,3977.620208104098,67429.36920584974,8849.855120995655,2893.300000109196,3802.900000049248,3067.699999866815,8565.200000033024,3152.300000060761,4134.314613149951
E12000007,London,All local authorities,3173.51,416.394,3589.904,392.374,3982.278,10515.78056840111,2037.787829702438,12553.5683981034,24997.83511128285,37551.40350938545,3313.611921311452,4893.893355097427,3496.909220442497,63709.2037476562,9429.628847957238,2570.199999866598,3825.700000029364,2668.300000018035,6172.599999947351,2748.899999787219,3565.80256696148
E12000008,South East,All local authorities,3318.075,606.048,3924.123,336.734,4260.857,12287.49945342381,3235.594664700496,15523.09411812437,21513.26999291724,37036.36411104181,3703.201239701879,5338.842244674507,3955.812322428316,63888.02435428925,8692.233536831161,2941.899999811856,4081.0,3065.20000013598,7742.400000053384,3143.0,4104.087172822286
E12000009,South West,All local authorities,2227.08,336.496,2563.576,253.291,2816.867,7871.224482599915,2109.595190499037,9980.81967309898,13100.40186229162,23081.22153539062,3534.324982757654,6269.302430040882,3893.319204540447,51720.755424755,8193.93373396423,2835.800000116194,5124.849999971821,2989.199999870571,7083.400000036407,3078.800000095268,4119.234905914983
W92000004,Wales,All local authorities,1323.546,88.854,1412.4,125.869,1538.269,4316.412426600012,549.0599588,4865.472385400007,9750.738719829998,14616.21110522996,3261.248514671958,6179.349931348053,3444.82610124611,77467.35669489705,9501.726359453358,2734.6,4753.45,2793.5,7368.0,2878.8,3554.791847765856
S92000003,Scotland (inc unallocated),All local authorities,2407.22,343.028,2750.248,216.931,2967.179,7793.2625683992,1841.764200198795,9635.02676859788,14441.65237255006,24076.67914114799,3237.453397861101,5369.136630825458,3503.330160988347,66572.56165578023,8114.333223963903,2648.0,4127.35,2738.1,8986.3,2824.5,3895.515083343123
