Code,Country or region,Local authority,"Number of meters
(thousands):
Domestic Standard","Number of meters
(thousands):
Domestic E7 
","Number of meters
(thousands):
All Domestic
","Number of meters
(thousands):
All Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic Standard","Total consumption
(GWh):
Domestic E7","Total consumption
(GWh):
All Domestic
","Total consumption
(GWh):
All Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic Standard","Mean consumption
(kWh per meter):
Domestic E7","Mean consumption
(kWh per meter):
All Domestic
","Mean consumption
(kWh per meter):
All Non-Domestic","Mean consumption
(kWh per meter):
All meters","Median consumption
(kWh per meter):
Domestic Standard","Median consumption
(kWh per meter):
Domestic E7","Median consumption
(kWh per meter):
All Domestic
","Median consumption
(kWh per meter):
All Non-Domestic","Median consumption
(kWh per meter):
All meters","Mean domestic
consumption
(kWh per household)"
K03000001,Great Britain,All local authorities,23089.751,4618.051,27707.802,2481.93,30189.732,84689.73951,24490.11371,109179.8532,183012.2316,292192.0848,3667.84984,5303.127599,3940.401091,73737.86995,9678.525294,3064.4,4064.5,3178.5,8693.3,3261.0,4162.326695924075
E92000001,England,All local authorities,19434.119,4045.901,23480.02,2101.374,25581.394,71696.76749,21263.82999,92960.59748,151176.2298,244136.8273,3689.221389,5255.647628,3959.136214,71941.6105,9543.531025,3072.5,4039.6,3191.4,8638.7,3272.6,4133.781098042777
E12000001,North East,All local authorities,1131.715,74.952,1206.667,83.706,1290.373,3718.934955,382.7836087,4101.718563,7864.750785,11966.46935,3286.105561,5107.049961,3399.21334,93956.83446,9273.651377,2858.0,3894.3,2888.1,9207.4,2951.7,3600.541226919009
E12000002,North West,All local authorities,2926.06,244.811,3170.871,244.407,3415.278,10568.22349,1463.684179,12031.90767,20117.47544,32149.3831,3611.758982,5978.833381,3794.511876,82311.37176,9413.401516,3106.2,4779.9,3175.4,9816.9,3256.6,3957.58316843277
E12000003,Yorkshire and The Humber,All local authorities,2178.17,183.743,2361.913,184.946,2546.859,7638.183012,1011.009932,8649.192944,15159.0727,23808.26565,3506.697371,5502.304479,3661.943917,81964.85841,9348.08941,2973.0,4241.7,3025.1,9576.55,3104.9,3847.735115883242
E12000004,East Midlands,All local authorities,1288.499,728.917,2017.416,163.958,2181.374,4562.63048,3227.793401,7790.423882,13333.56555,21123.98943,3541.04309,4428.20431,3861.585256,81323.05561,9683.799951,2993.3,3439.0,3137.5,10421.2,3225.8,4036.208823843319
E12000005,West Midlands,All local authorities,1985.356,416.856,2402.212,201.561,2603.773,7388.271362,2155.865661,9544.137022,15047.83361,24591.97064,3721.383652,5171.727553,3973.061921,74656.47429,9444.744468,3168.1,3972.1,3270.7,9419.3,3353.4,4100.497269238635
E12000006,East,All local authorities,1777.431,814.489,2591.92,224.132,2816.052,6870.962442,4185.522626,11056.48507,16065.22863,27121.7137,3865.670421,5138.8326,4265.750898,71677.53213,9631.112528,3197.1,3910.3,3382.2,9575.1,3468.9,4454.574307871068
E12000007,London,All local authorities,2993.793,475.242,3469.035,404.202,3873.237,10835.58063,2390.748016,13226.32865,26763.00005,39989.3287,3619.348643,5030.590764,3812.682388,66211.94366,10324.52409,2862.2,3987.65,2970.5,6723.5,3048.9,3928.00771267394
E12000008,South East,All local authorities,3059.829,721.569,3781.398,339.57,4120.968,12226.71868,3938.079541,16164.79822,22778.56644,38943.36466,3995.883,5457.661763,4274.820642,67080.62089,9450.052672,3263.1,4269.3,3404.8,8621.05,3483.5,4442.280879321522
E12000009,South West,All local authorities,2093.266,385.322,2478.588,254.892,2733.48,7887.262439,2508.343029,10395.60547,14046.73661,24442.34208,3767.921726,6509.732194,4194.164366,55108.58171,8941.840466,3131.0,5457.9,3319.5,7456.8,3406.2,4490.588874355501
W92000004,Wales,All local authorities,1288.4,104.36,1392.76,127.802,1520.562,4511.038009,678.2329832,5189.270992,10366.71993,15555.99092,3501.271351,6498.974542,3725.890313,81115.47497,10230.42199,3018.4,5113.2,3091.5,7901.6,3176.0,3912.17549930773
S92000003,Scotland,All local authorities,2298.994,461.836,2760.83,217.505,2978.335,8247.032562,2516.034314,10763.06688,14559.3743,25322.44118,3587.235357,5447.895603,3898.48954,66938.11315,8502.21388,3032.8,4127.8,3123.1,9580.9,3209.0,4454.88597334287
