Code,Country or region,Local authority,"Number of meters
(thousands):
Domestic Standard","Number of meters
(thousands):
Domestic E7","Number of meters
(thousands):
All Domestic","Number of meters
(thousands):
All Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic Standard","Total consumption
(GWh):
Domestic E7","Total consumption
(GWh):
All Domestic","Total consumption
(GWh):
All Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic Standard","Mean consumption
(kWh per meter):
Domestic E7","Mean consumption
(kWh per meter):
All Domestic","Mean consumption
(kWh per meter):
All Non-Domestic","Mean consumption
(kWh per meter):
All meters","Median consumption
(kWh per meter):
Domestic Standard","Median consumption
(kWh per meter):
Domestic E7","Median consumption
(kWh per meter):
All Domestic","Median consumption
(kWh per meter):
All Non-Domestic","Median consumption
(kWh per meter):
All meters","Mean domestic
consumption
(kWh per household)"
K03000001,Great Britain (inc unallocated),All local authorities,25215.361,3634.302,28849.663,2447.474,31297.137,84257.30880956093,18323.74991300572,102581.0587225679,156116.5554029699,258697.6141255423,3341.507139618621,5041.889725456421,3555.710814457968,63786.80852297918,8265.855567732675,2635.6,3707.8,2721.3,7364.35,2798.7,3720.122495649853
E92000001,England,All local authorities,21401.862,3222.204,24624.066,2086.033,26710.099,72113.74723576895,16134.3123979828,88248.05963375316,130981.6969051411,219229.7565388988,3369.508094004575,5007.228716115677,3583.813478803751,62789.8489166476,8207.747808755737,2650.7,3682.2,2739.8,7337.0,2816.6,3725.291891321967
E12000001,North East,All local authorities,1188.998,55.355,1244.353,83.449,1327.802,3473.952560243383,277.3371780713177,3751.289738314761,6623.853087606866,10375.14282592162,2921.748026694228,5010.155867967081,3014.650777001993,79376.06307573327,7813.772554885157,2402.699999973754,3685.099999996186,2427.300000035488,7929.5,2488.900000060062,3173.1806486583
E12000002,North West,All local authorities,3105.19,202.95,3308.14,240.887,3549.027,10097.14817798087,1109.146617866267,11206.294795847,17254.55359909026,28460.84839493759,3251.700597380796,5465.122531984565,3387.491096461152,71629.24358346553,8019.338369343934,2644.300000133491,4231.399999984637,2693.5,8487.799999985278,2771.299999995204,3525.810416644747
E12000003,Yorkshire and The Humber,All local authorities,2294.977,144.336,2439.313,187.081,2626.394,7370.418212365964,759.616065157021,8130.034277523054,13580.16056583066,21710.19484335371,3211.543389047456,5262.831623136439,3332.919669399972,72589.73688311831,8266.160691561781,2564.5,3947.050000002828,2605.19999988336,8193.5,2683.300000124338,3468.826465337505
E12000004,East Midlands,All local authorities,1565.755,553.523,2119.278,164.693,2283.971,5187.890422670948,2375.476628421287,7563.367051090977,12078.80676016573,19642.17381125701,3313.347504987018,4291.559029021896,3568.841393668493,73341.34881364556,8600.010162675888,2645.199999922037,3094.200000030382,2746.300000110172,8695.599999980142,2826.899999907269,3680.531478910589
E12000005,West Midlands,All local authorities,2184.459,331.06,2515.519,202.241,2717.76,7394.014602478482,1609.797608060873,9003.812210538606,13357.83301793294,22361.6452284715,3384.826450154698,4862.555452367766,3579.305984386764,66049.0850912176,8227.969073233657,2720.5,3557.700000022754,2796.5,7982.900000029917,2875.199999869026,3662.143615046586
E12000006,East,All local authorities,2094.495,640.669,2735.164,223.976,2959.14,7499.546098624557,3190.07363266128,10689.61973128511,13921.6320787772,24611.25181006224,3580.59871168208,4979.285142033219,3908.21893359415,62156.80286627673,8317.028531959368,2783.0,3589.799999984536,2924.399999853881,8027.049999967545,3004.39999982909,4091.192727018605
E12000007,London,All local authorities,3252.982,398.861,3651.843,393.5,4045.343,10521.36127027684,1892.690038288951,12414.05130856588,22089.17856673378,34503.2298753009,3234.3742665274,4745.237158531295,3399.393486676694,56135.1424821697,8529.12345759084,2454.100000147009,3607.0,2535.899999820569,5597.25,2607.799999937583,3483.717967779496
E12000008,South East,All local authorities,3428.109,572.217,4000.326,337.063,4337.389,12601.44977090649,2990.323800201877,15591.77357110875,20055.5567307821,35647.33030189124,3675.91863937421,5225.856275157637,3897.62573627968,59500.91446044834,8218.615001304066,2834.0,3906.40000004305,2936.200000122334,7290.699999985951,3010.399999761671,4070.86243410633
E12000009,South West,All local authorities,2286.897,323.233,2610.13,253.143,2863.273,7967.966120222738,1929.850829253971,9897.816949476519,12020.1224982191,21917.93944769575,3484.18233100255,5970.463502346516,3792.078152994877,47483.52709029718,7654.854932692676,2719.100000079056,4833.0,2851.199999872326,6612.5,2933.800000121967,4015.911772250226
W92000004,Wales,All local authorities,1344.64,85.407,1430.047,126.095,1556.142,4312.824842920513,504.0536303526094,4816.878473273117,9050.28750296344,13867.16597623657,3207.419713023942,5901.783581587099,3368.335777266843,71773.56360651445,8911.247158830347,2614.7,4464.1,2664.8,6805.6,2743.6,3471.322860961458
S92000003,Scotland (inc unallocated),All local authorities,2454.576,326.239,2780.815,217.897,2998.712,7778.438183174683,1682.289908970005,9460.728092144827,13382.38914755132,22843.11723969625,3168.953898015252,5156.618028408638,3402.142210878763,61416.12389134005,7617.642921259609,2520.0,3838.2,2594.9,8369.58,2675.3,3787.128553570265
