Code,Country or region,Local authority,"Number of meters
(thousands):
Domestic
","Number of meters
(thousands):
Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic
","Total consumption
(GWh):
Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic
","Mean consumption
(kWh per meter):
Non-Domestic","Mean consumption
(kWh per meter):
All meters","Mean domestic
consumption
(kWh per household)"
UKC,North East,All local authorities,1187.384,80.49099999999999,1267.875,4241.0895045,7792.937370409601,12034.0268749096,3571.79270101332,96817.49972555443,9491.493147912533,3792.0
UKD,North West,All local authorities,3117.209000000001,233.165,3350.373999999999,12511.3586518,19930.3900037,32441.74865549999,4013.641257868817,85477.62315827848,9683.023046233047,4238.0
UKE,Yorkshire and The Humber,All local authorities,2321.149,176.049,2497.198,8934.275872300004,15437.85561390409,24372.1314862041,3849.074692016758,87690.6748343023,9759.791368647617,4014.0
UKF,East Midlands,All local authorities,1964.303,154.287,2118.589999999999,8026.640774099998,13158.0036507,21184.6444248,4086.253889598497,85282.64630655857,9999.407353381263,4253.0
UKG,West Midlands,All local authorities,2352.790000000001,192.598,2545.388,9857.959253900002,14766.25353429999,24624.21278819999,4189.901884103553,76668.77918929579,9674.050788406325,4371.0
UKH,East,All local authorities,2516.172,212.856,2729.028000000001,11219.5578685,15736.341414,26955.8992825,4458.978904661525,73929.51767392039,9877.472595554163,4611.0
UKI,London,All local authorities,3357.525999999999,402.7390000000001,3760.265,13370.9847387,27709.65733243836,41080.64207113837,3982.392016830251,68803.01468801967,10924.93270318405,4089.0
UKJ,South East,All local authorities,3672.145,330.881,4003.026000000001,16441.7904884,23305.42847404429,39747.21896244428,4477.43498374928,70434.47183139647,9929.293230282361,4683.0
UKK,South West,All local authorities,2397.59,246.433,2644.023,10663.7509535,14240.6791155,24904.430069,4447.69579181595,57787.22458234082,9419.142749136448,4710.0
UKL,Wales,All local authorities,1360.607,124.39,1484.997,5321.615969099998,10398.2707595,15719.8867286,3911.207254629734,83594.10530991238,10585.80369428356,4069.0
UKM,Scotland,All local authorities,2732.079,214.0339999999999,2946.113,11434.8270056,15631.8888774,27066.715883,4185.393982238435,73034.60607847353,9187.263313728974,4876.0
